                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.70577,                0.55532,                0.97264,                0.99768,                0.97531,                0.98532,                 0.8335,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.69665,                0.52582,                0.96075,                0.98658,                0.97531,                0.98509,                0.82585,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.73031,                0.54358,                0.97414,                0.98764,                0.98655,                0.98578,                 0.8218,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.72652,                0.54055,                0.97212,                0.98575,                0.98765,                0.98582,                0.83503,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.68569,                0.49219,                0.96294,                0.98566,                0.98765,                0.98582,                0.83796,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.73863,                0.56436,                 1.0185,                0.98505,                0.95062,                 0.9845,                0.84624,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.68343,                0.51922,                0.96124,                0.97302,                0.98765,                 0.9853,                0.83351,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.68676,                0.48487,                0.95453,                0.98764,                0.98656,                 0.9855,                0.81408,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 0.7103,                0.50998,                0.96836,                0.98578,                0.98765,                0.98488,                0.83735,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.67482,                0.51204,                0.96258,                0.97227,                0.98765,                0.98504,                0.84666,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.67652,                0.52792,                0.97337,                      1,                0.98753,                0.98559,                0.84675,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.66477,                0.50695,                0.96788,                0.99876,                0.98765,                0.98553,                0.81776,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                 0.6746,                0.48833,                0.96345,                      1,                 0.9833,                0.98565,                0.80809,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 0.6584,                 0.4951,                0.94203,                      1,                0.98557,                0.98589,                0.81943,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.66112,                0.48874,                 0.9479,                0.98763,                0.98548,                0.98602,                 0.8411,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.64376,                0.46081,                0.94012,                      1,                0.98717,                0.98676,                0.83447,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.65227,                0.48743,                0.94365,                      1,                0.97323,                0.98653,                0.84288,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.65019,                0.47114,                0.95376,                0.98469,                0.97531,                0.98553,                0.84183,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.63439,                0.45796,                 0.9459,                      1,                0.97336,                0.98659,                0.84116,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.64504,                0.45103,                0.94747,                0.97328,                0.98765,                0.98595,                0.84512,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.64738,                0.46477,                0.94392,                0.98487,                0.98765,                0.98549,                0.83577,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.61327,                 0.4364,                0.90245,                 0.9862,                0.97531,                0.98516,                0.84227,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.64311,                0.46118,                0.96319,                0.97386,                0.98765,                0.98511,                0.84658,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.60911,                0.43614,                0.92409,                0.98599,                0.98765,                 0.9858,                0.85044,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.60954,                0.43124,                0.92948,                0.98606,                0.97531,                0.98565,                0.84027,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.61316,                0.42911,                0.94674,                 0.9867,                0.98765,                0.98583,                 0.8702,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.60685,                0.45535,                0.92112,                0.98604,                0.98765,                0.98546,                0.86238,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.59298,                0.41999,                0.92552,                0.97453,                0.98765,                0.98408,                0.85631,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.57927,                  0.417,                0.91601,                0.97775,                0.97531,                0.98587,                0.84374,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
